,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
1,Islamabad,33.71,73.13,22.78,78.0,20.0,3.55,PK,1601241694.0
2,St. Pete Beach,27.73,-82.74,33.33,66.0,20.0,5.1,US,1601241984.0
3,Fortuna,40.6,-124.16,26.11,47.0,20.0,7.7,US,1601241787.0
4,Kutum,14.2,24.67,25.89,49.0,100.0,1.25,SD,1601241906.0
5,Punta Arenas,-53.15,-70.92,11.0,53.0,40.0,17.0,CL,1601241695.0
7,Ushuaia,-54.8,-68.3,8.0,49.0,40.0,5.1,AR,1601241985.0
8,Sitka,57.05,-135.33,12.0,81.0,75.0,8.2,US,1601241985.0
9,Laguna,38.42,-121.42,33.89,19.0,1.0,3.6,US,1601241985.0
10,Kinsale,51.71,-8.53,14.44,93.0,75.0,3.6,IE,1601241986.0
11,Kachug,53.96,105.88,2.98,84.0,78.0,2.12,RU,1601241986.0
12,Grand Gaube,-20.01,57.66,22.78,77.0,94.0,3.58,MU,1601241986.0
13,Chaman,30.92,66.45,13.5,32.0,0.0,1.24,PK,1601241986.0
14,Thompson,55.74,-97.86,7.0,87.0,90.0,6.2,CA,1601241987.0
16,Vostok,46.49,135.88,3.53,89.0,0.0,1.98,RU,1601241987.0
17,Barrow,71.29,-156.79,0.0,95.0,90.0,4.1,US,1601241987.0
19,Kutum,14.2,24.67,25.89,49.0,100.0,1.25,SD,1601241906.0
20,Lázaro Cárdenas,17.96,-102.2,29.05,73.0,74.0,2.97,MX,1601241988.0
21,Rikitea,-23.12,-134.97,23.46,81.0,1.0,5.79,PF,1601241833.0
22,Mataura,-46.19,168.86,3.33,93.0,100.0,2.24,NZ,1601241989.0
23,Belmonte,-15.86,-38.88,25.0,65.0,40.0,4.1,BR,1601241989.0
24,Arraial do Cabo,-22.97,-42.03,26.0,78.0,1.0,6.7,BR,1601241989.0
25,Rikitea,-23.12,-134.97,23.46,81.0,1.0,5.79,PF,1601241833.0
26,Hermanus,-34.42,19.23,6.67,93.0,1.0,1.01,ZA,1601241694.0
27,Bredasdorp,-34.53,20.04,10.0,76.0,0.0,1.5,ZA,1601241716.0
28,Hermanus,-34.42,19.23,6.67,93.0,1.0,1.01,ZA,1601241694.0
29,Katherine,-14.47,132.27,23.0,40.0,96.0,2.6,AU,1601241990.0
30,Kapaa,22.08,-159.32,28.33,65.0,20.0,4.6,US,1601241991.0
31,Cidreira,-30.18,-50.21,19.42,90.0,100.0,5.81,BR,1601241991.0
32,Mataura,-46.19,168.86,3.33,93.0,100.0,2.24,NZ,1601241989.0
33,Chui,-33.7,-53.46,19.21,91.0,83.0,5.71,UY,1601241991.0
34,Chokurdakh,70.63,147.92,4.71,82.0,97.0,3.0,RU,1601241992.0
35,Punta Arenas,-53.15,-70.92,11.0,53.0,40.0,17.0,CL,1601241695.0
36,Tiksi,71.69,128.87,4.26,90.0,89.0,4.03,RU,1601241992.0
37,Tommot,58.96,126.29,6.16,85.0,100.0,6.25,RU,1601241992.0
39,Tasiilaq,65.61,-37.64,2.0,93.0,99.0,1.0,GL,1601241993.0
40,Kichera,55.94,110.1,3.99,78.0,100.0,1.59,RU,1601241993.0
41,Busselton,-33.65,115.33,12.22,91.0,42.0,4.4,AU,1601241993.0
42,Thompson,55.74,-97.86,7.0,87.0,90.0,6.2,CA,1601241987.0
43,Rikitea,-23.12,-134.97,23.46,81.0,1.0,5.79,PF,1601241833.0
45,Bethel,41.37,-73.41,25.0,69.0,40.0,3.6,US,1601241994.0
46,Ushuaia,-54.8,-68.3,8.0,49.0,40.0,5.1,AR,1601241985.0
47,Atuona,-9.8,-139.03,25.78,73.0,0.0,6.09,PF,1601241995.0
48,Bontang,0.13,117.5,24.54,88.0,99.0,3.3,ID,1601241995.0
49,Albany,42.6,-73.97,23.89,68.0,30.0,4.61,US,1601241995.0
